city,companyFullName,companyId,createTime,education,positionId,positionName,salary,workYear
北京,京东金融,534,2018-02-24 14:20:35,本科,3762683,Python研发工程师,25k-50k,5-10年
深圳,深圳码隆科技有限公司,78224,2018-02-24 10:13:17,不限,3905056,Python开发工程师,20k-40k,不限
北京,北京思源置地投资有限公司,82069,2018-02-24 10:00:34,本科,4009873,python,20k-30k,5-10年
北京,北京艾唯博瑞科技有限公司,34457,2018-02-23 14:52:47,本科,1221059,python研发工程师,15k-25k,3-5年
深圳,上海海万信息科技股份有限公司,128998,2018-02-24 17:54:19,大专,3411754,python开发工程师,10k-20k,3-5年
广州,广州市液态水软件科技有限公司,217218,2018-02-24 15:02:57,大专,3541473,Python工程师,15k-25k,1-3年
北京,维我软件（上海）有限公司北京分公司,42934,2018-02-24 10:45:36,本科,3643064,软件工程师 - Python,15k-25k,3-5年
北京,智车优行科技（北京）有限公司,247880,2018-02-24 13:35:23,本科,4030522,Python 开发工程师,15k-20k,3-5年
武汉,武汉北蚁网络科技有限公司,200100,2018-02-24 11:01:28,大专,3082699,python工程师,8k-10k,3-5年
北京,北京摩尔妈咪网络科技有限公司,312651,2018-02-24 10:35:22,本科,4126452,Python开发工程师,20k-40k,1-3年
无锡,南京网燃网络科技有限公司,233304,2018-02-24 17:52:39,大专,4063982,python软件工程师助理/python程序员双休,3k-6k,1年以下
北京,北京破晓互动科技有限责任公司,40747,2018-02-24 14:20:52,本科,3943943,python开发,15k-25k,1-3年
广州,广州医昊网络科技有限公司,160268,2018-02-24 23:32:40,大专,4143884,python工程师,6k-10k,1-3年
上海,上海勃池信息技术有限公司,163790,2018-02-24 11:22:28,本科,4130468,Python开发工程师,10k-20k,1-3年
深圳,深圳市环球易购电子商务有限公司,83025,2018-02-24 09:35:05,大专,2786718,高级python开发工程师,12k-20k,3-5年
大连,北京推想科技有限公司,128888,2018-02-24 11:06:56,大专,3626993,python工程师,6k-12k,1年以下
北京,北京奇安信科技有限公司,148909,2018-02-23 17:38:58,本科,3745051,python开发工程师,10k-20k,1-3年
厦门,厦门点触科技股份有限公司,58426,2018-02-13 10:44:55,大专,517332,Python程序员,10k-15k,1-3年
西安,西安巨匠软开网络科技有限公司,90572,2018-02-24 19:55:25,本科,3983577,Python工程师,12k-20k,1-3年
泉州,福建国脉生物科技有限公司,280899,2018-02-24 16:03:14,大专,4141341,python程序员,5k-8k,1-3年
沈阳,沈阳尚观云科技有限公司,325397,2018-02-24 15:19:52,本科,4140707,python开发工程师,6K-10K,1-3年
北京,维我软件（上海）有限公司北京分公司,42934,2018-02-24 10:40:57,本科,3554732,Python,25k-35k,3-5年
北京,广州杰颉软件科技有限公司,174043,2018-02-24 15:14:40,本科,3794749,Python开发工程师,10k-15k,3-5年
北京,高德软件有限公司,91,2018-02-24 14:33:21,本科,3801569,python开发高级工程师,15k-30k,3-5年
北京,青松智慧（北京）科技有限公司,78488,2018-02-24 09:52:56,不限,3823986,Python工程师,12k-20k,3-5年
武汉,行吟信息科技（上海）有限公司,6542,2018-02-23 19:11:05,本科,3772461,Python开发工程师,15k-30k,1-3年
北京,北京慕华信息科技有限公司,9955,2018-02-23 13:00:38,本科,3106720,系统开发工程师（Python）,20k-30k,5-10年
武汉,武汉北蚁网络科技有限公司,200100,2018-02-24 11:01:27,大专,3958200,Python高级开发工程师,10k-15k,3-5年
北京,北京爱奇艺科技有限公司,1686,2018-02-22 14:34:36,硕士,3029530,Python开发工程师,18k-28k,1-3年
北京,光合新知（北京）科技有限公司,5706,2018-02-24 14:15:51,不限,3856780,Python,15k-30k,1-3年
北京,会找房（北京）网络技术有限公司,46399,2018-02-24 10:00:34,本科,3164675,高级python开发工程师,15k-30k,3-5年
北京,深圳市麦达数字股份有限公司,124962,2018-02-23 17:45:27,本科,3544853,PYTHON研发工程师,25k-35k,3-5年
上海,上海优刻得信息科技有限公司,165,2018-02-23 17:33:23,本科,3911343,中级Python开发工程师,15k-25k,3-5年
广州,广州机智云物联网科技有限公司,6921,2018-02-23 17:05:46,本科,3276996,python开发,10k-15k,1-3年
北京,马上消费金融股份有限公司,136443,2018-02-23 13:15:05,大专,3901523,Python开发工程师,20k-30k,3-5年
北京,北京秒针信息咨询有限公司,13171,2018-02-22 18:24:11,本科,3967355,Python开发工程师,15k-30k,1-3年
北京,云蜂科技有限公司,199892,2018-01-25 17:05:07,本科,3085536,Python工程师,15k-25k,3-5年
北京,凤凰飞扬（北京）新媒体信息技术有限公司,2494,2018-02-24 14:04:23,本科,4012353,Python工程师-北京-01084,15k-25k,3-5年
北京,维我软件（上海）有限公司北京分公司,42934,2018-02-24 10:45:36,本科,2736190,高级工程师-Python,25k-35k,5-10年
上海,深圳市雁联计算系统有限公司,43545,2018-02-23 16:33:54,本科,3736946,Python开发工程师,10k-17k,1-3年
上海,阿基米德（上海）传媒有限公司,98723,2018-02-24 17:05:34,本科,1900054,Python软件开发工程师,15k-22k,1-3年
杭州,浙江天垂科技有限公司,211574,2018-02-24 11:49:14,本科,3234474,Python工程师,15k-30k,3-5年
北京,北京天润融通科技有限公司,5748,2018-02-23 13:08:19,本科,4110734,Python开发工程师[亦庄],15k-30k,不限
北京,北京新工场投资顾问有限公司,179,2018-02-23 10:26:47,本科,97805,高级python开发工程师,15k-30k,1-3年
深圳,深圳码隆科技有限公司,78224,2018-02-24 10:13:18,不限,3907113,高级Python开发工程师,20k-40k,3-5年
北京,北京多牛互动传媒股份有限公司,21421,2018-02-24 09:44:04,本科,3470409,Python开发工程师-WEB-DNJS0007,12k-24k,3-5年
上海,千言信息技术（上海）有限公司,27024,2018-02-22 16:17:11,本科,3848677,Python,15k-30k,5-10年
北京,北京智者天下科技有限公司,4128,2018-02-22 10:05:10,本科,3801911,Python开发工程师,15k-30k,3-5年
北京,京东金融,534,2018-02-24 14:20:35,本科,3981193,Python开发工程师-pass平台方向,25k-50k,5-10年
深圳,深圳市博奥特科技有限公司,69152,2018-02-24 08:40:12,大专,3773745,Python开发工程师,10k-15k,1-3年
上海,上海优刻得信息科技有限公司,165,2018-02-23 17:33:31,本科,3911321,资深Python开发工程师,25k-35k,5-10年
北京,维我软件（上海）有限公司北京分公司,42934,2018-02-24 10:45:06,本科,3643154,Python开发,15k-20k,1-3年
上海,上海酷犇网络科技有限公司,255033,2018-02-24 18:35:59,本科,4143122,python 开发工程师,10k-20k,1-3年
北京,北京汇行科技有限公司,8861,2018-02-24 13:56:35,本科,3828782,高级Python开发工程师,15k-25k,1-3年
上海,上海果雪信息科技有限公司,223674,2018-02-22 11:55:46,本科,3376282,Python 工程师,15k-30k,3-5年
深圳,印孚瑟斯技术（中国）有限公司,44875,2018-02-22 11:29:41,大专,4051484,python软件工程师,10k-20k,不限
上海,广州杰颉软件科技有限公司,174043,2018-02-24 15:14:42,本科,3794717,Python开发工程师,10k-15k,3-5年
北京,北京博智天下信息技术有限公司,16869,2018-02-24 11:46:44,本科,3684375,Python开发工程师,20k-40k,1-3年
重庆,重庆梦之想科技有限责任公司,70056,2018-02-23 13:23:13,大专,1526638,Python开发工程师,4k-8k,不限
上海,上海幻电信息科技有限公司,30830,2018-02-24 11:58:51,本科,1155330,PHP/Python研发工程师,15k-20k,1-3年
北京,北京弘合柏基金融信息服务有限责任公司,1992,2018-02-24 10:55:50,本科,4067544,Python工程师,8k-16k,1-3年
北京,北京步鼎方舟科技有限公司,413,2018-02-24 10:31:46,本科,2696329,Python高级开发工程师,20k-30k,3-5年
北京,北京好巧国际旅行社有限公司,7902,2018-02-23 18:06:04,本科,2714158,python工程师,15k-20k,3-5年
杭州,杭州数心网络科技有限公司,154789,2018-02-23 13:40:55,本科,3891419,Python 开发工程师,10k-20k,1-3年
北京,北京慕华信息科技有限公司,9955,2018-02-23 13:00:39,本科,3167076,Python开发工程师,20k-30k,3-5年
北京,北京墨迹风云科技股份有限公司,121,2018-02-14 10:00:40,本科,4122204,Python 开发工程师,20k-35k,3-5年
北京,维我软件（上海）有限公司北京分公司,42934,2018-02-24 10:45:06,本科,3873157,资深Python工程师,25k-35k,5-10年
上海,上海道客网络科技有限公司,41209,2018-02-24 17:46:44,本科,4071680,Python开发工程师,10k-20k,1-3年
杭州,阿里云计算有限公司,83357,2018-02-24 17:40:25,不限,4032193,高级Java/Python开发工程师,20K-35K,不限
上海,上海阿牛信息科技有限公司,5674,2018-02-23 10:16:05,本科,4063313,高级Python开发工程师,15k-22k,3-5年
北京,北京金山网络科技有限公司,133,2018-01-25 18:08:38,本科,4081070,Python开发工程师,15k-30k,3-5年
